Rank,Movie, LifetimeGross ,Year
75,Guardians of the Galaxy Vol. 2,863756051,2017
76,Inside Out,857611174,2015
77,Venom,856085151,2018
78,Thor: Ragnarok,853977126,2017
79,Transformers: Revenge of the Fallen,836303693,2009
80,Inception,829895144,2010
81,The Twilight Saga: Breaking Dawn - Part 2,829746820,2012
82,Spider-Man,825025036,2002
83,Wonder Woman,821847012,2017
84,Independence Day,817400891,1996
85,Fantastic Beasts and Where to Find Them,814037575,2016
86,Shrek the Third,813367380,2007
87,Coco,807082196,2017
88,Harry Potter and the Prisoner of Azkaban,796093802,2004
89,Pirates of the Caribbean: Dead Men Tell No Tales,794861794,2017
90,E.T. the Extra-Terrestrial,793482178,1982
91,2012,791217826,2009
92,Mission: Impossible - Fallout,791115104,2018
93,Indiana Jones and the Kingdom of the Crystal Skull,790653942,2008
94,Spider-Man 2,788976453,2004
95,Fast & Furious 6,788679850,2013
96,Deadpool 2,785794179,2018
97,Deadpool,782612155,2016
98,Jumanji: The Next Level,780016286,2019
99,Star Wars: Episode IV - A New Hope,775512064,1977
100,Guardians of the Galaxy,772776600,2014
101,The Da Vinci Code,760006945,2006
102,Fast & Furious Presents: Hobbs & Shaw,759056935,2019
103,Maleficent,758410378,2014
104,The Amazing Spider-Man,757930663,2012
105,The Hunger Games: Mockingjay - Part 1,755356711,2014
106,Shrek Forever After,752600867,2010
107,Madagascar 3: Europe's Most Wanted,746921274,2012
108,Suicide Squad,746846894,2016
109,X-Men: Days of Future Past,746045700,2014
110,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",745013115,2005
111,Monsters University,743559607,2013
112,The Matrix Reloaded,741846459,2003
113,Up,735099082,2009
114,Ne Zha,726063471,2019
115,Gravity,723192705,2013
116,Captain America: The Winter Soldier,714421503,2014
117,The Twilight Saga: Breaking Dawn - Part 1,712205856,2011
118,The Twilight Saga: New Moon,711020081,2009
119,Dawn of the Planet of the Apes,710644566,2014
120,Transformers,709709780,2007
121,The Amazing Spider-Man 2,708982323,2014
122,It,701796444,2017
123,The Wandering Earth,699760773,2019
124,The Twilight Saga: Eclipse,698491347,2010
125,Mission: Impossible - Ghost Protocol,694713380,2011
126,The Hunger Games,694394724,2012
127,Moana,690845539,2016
128,Mission: Impossible - Rogue Nation,682714267,2015
129,Forrest Gump,678151134,1994
130,Doctor Strange,677718395,2016
131,Interstellar,677471339,2014
132,The Sixth Sense,672806292,1999
133,Man of Steel,668045518,2013
134,Ice Age: The Meltdown,667094506,2006
135,Kung Fu Panda 2,665692281,2011
136,The Hunger Games: Mockingjay - Part 2,658344137,2015
137,Justice League,657924295,2017
138,Big Hero 6,657827828,2014
139,Fantastic Beasts: The Crimes of Grindelwald,654855901,2018
140,Pirates of the Caribbean: The Curse of the Black Pearl,654264015,2003
141,Star Wars: Episode II - Attack of the Clones,653779970,2002
142,Thor: The Dark World,644783140,2013
143,Sing,634151679,2016
144,"Monsters, Inc.",632316649,2001
145,Kung Fu Panda,631746197,2008
146,The Incredibles,631606713,2004
147,The Martian,630161890,2015
148,Hancock,629443428,2008
149,Fast Five,626137675,2011
150,Men in Black 3,624026776,2012
151,Iron Man 2,623933331,2010
152,Ratatouille,623726085,2007
153,Ant-Man and the Wasp,622674139,2018
154,How to Train Your Dragon 2,621537519,2014
155,Logan,619021436,2017
156,The Lost World: Jurassic Park,618638999,1997
157,Casino Royale,616501619,2006
158,The Passion of the Christ,612054428,2004
159,Mamma Mia!,609896805,2008
160,Life of Pi,609016565,2012
161,Transformers: The Last Knight,605425157,2017
162,Madagascar: Escape 2 Africa,603900354,2008
163,War of the Worlds,603873119,2005
164,Tangled,593171580,2010
165,Quantum of Solace,589580482,2008
166,Men in Black,589390539,1997
167,The Croods,587204668,2013
168,The Hangover Part II,586764305,2011
169,I Am Legend,585410052,2007
170,Iron Man,585366247,2008
171,Ready Player One,582890172,2018
172,Operation Red Sea,579330426,2018
173,Night at the Museum,574480841,2006
174,Fifty Shades of Grey,569651467,2015
175,Kong: Skull Island,566652812,2017
176,The Smurfs,563749323,2011
177,King Kong,562363449,2005
178,Cars 2,559852396,2011
179,Puss in Boots,554987477,2011
180,The Mermaid,553810228,2016
181,Armageddon,553709788,1998
182,The Day After Tomorrow,552639571,2004
183,Ted,549368315,2012
184,Star Wars: Episode V - The Empire Strikes Back,547897454,1980
185,American Sniper,547426372,2014
186,Mission: Impossible II,546388108,2000
187,Detective Chinatown 2,544185156,2018
188,X-Men: Apocalypse,543934105,2016
189,Sherlock Holmes: A Game of Shadows,543848418,2011
190,Despicable Me,543113985,2010
191,Cinderella,542351353,2015
192,Madagascar,542063846,2005
193,World War Z,540007876,2013
194,Brave,538983207,2012
195,The Simpsons Movie,536414270,2007
196,The Revenant,532950503,2015
197,The Meg,530243742,2018
198,Ralph Breaks the Internet,529323962,2018
199,Hotel Transylvania 3: Summer Vacation,528583774,2018
200,The Boss Baby,527965936,2017
